"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","PREV. DAY 
 19-Jan-2024","1W AGO 
 12-Jan-2024","1M AGO 
 21-Dec-2023","1Y AGO 
 20-Jan-2023","52W H 
","52W L 
","365 D % CHNG 
 19-Jan-2023","30 D % CHNG 
 20-Dec-2023"
"NIFTY INFRASTRUCTURE","7,666.85","0.01","7,699.25","7,712.35","7,656.25","7,665.90","7,665.90","7,561.15","7,087.30","5,257.35","7,712.35","4,930.60","44.83","9.44"
"NIFTY100 LIQUID 15","5,975.80","-0.13","6,000.00","6,014.10","5,965.15","5,983.50","5,983.50","6,013.15","5,692.95","4,565.05","6,078.30","4,196.00","30.27","5.34"
"NIFTY MIDCAP LIQUID 15","11,089.65","-0.37","11,195.20","11,233.10","11,076.20","11,131.25","11,131.25","11,090.95","10,752.20","7,454.25","11,264.35","7,039.85","47.68","5.34"
"NIFTY MNC","24,011.30","-0.63","24,204.40","24,219.05","23,997.55","24,162.80","24,162.80","24,034.35","23,289.80","19,673.35","24,365.50","18,651.05","21.36","4.48"
"NIFTY PSE","8,399.00","1.05","8,378.85","8,478.10","8,370.25","8,311.70","8,311.70","8,077.95","7,564.05","4,507.00","8,478.10","4,212.05","84.84","12.18"
"NIFTY SERVICES SECTOR","27,279.20","0.18","27,376.90","27,390.15","27,172.55","27,229.45","27,229.45","27,906.55","27,299.65","24,803.90","28,259.95","22,333.20","9.81","0.32"
"NIFTY100 ESG SECTOR LEADERS","3,533.70","-0.19","3,556.35","3,558.90","3,528.90","3,543.25","3,543.25","3,584.00","3,446.75","2,992.55","-","-","17.67","3.09"
"NIFTY INDIA DIGITAL","7,615.40","-0.58","7,712.30","7,722.75","7,599.00","7,659.50","7,659.50","7,590.65","7,114.85","5,184.45","7,732.50","4,755.25","47.15","9.02"
"NIFTY100 ESG","4,204.25","-0.17","4,232.05","4,233.25","4,198.75","4,213.20","4,213.20","4,249.40","4,083.60","3,422.90","-","-","22.35","3.80"
"NIFTY INDIA MANUFACTURING","11,039.30","-0.44","11,134.35","11,150.40","11,027.45","11,092.60","11,092.60","11,089.60","10,581.40","8,313.55","-","-","32.24","5.65"
"NIFTY 8-13 YR G-SEC","2,532.50","0.01","2,532.50","2,532.50","2,532.50","2,532.01","2,530.94","2,528.42","2,517.71","2,340.34","-","-","7.89","0.53"
"NIFTY 10 YR BENCHMARK G-SEC","2,242.15","0.01","2,242.15","2,242.15","2,242.15","2,241.72","2,240.79","2,238.08","2,229.63","2,071.79","-","-","7.94","0.50"
"NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)","869.90","-","869.90","869.90","869.90","869.90","870.05","870.18","870.44","863.37","-","-","0.54","-0.07"
"NIFTY 4-8 YR G-SEC INDEX","2,759.99","0.01","2,759.99","2,759.99","2,759.99","2,759.46","2,758.16","2,754.71","2,741.11","2,560.87","-","-","7.56","0.63"
"NIFTY 11-15 YR G-SEC INDEX","2,779.78","0.01","2,779.78","2,779.78","2,779.78","2,779.23","2,777.05","2,772.09","2,761.21","2,558.95","-","-","8.32","0.53"
"NIFTY 15 YR AND ABOVE G-SEC INDEX","3,026.75","0.02","3,026.75","3,026.75","3,026.75","3,026.14","3,026.44","3,015.95","3,008.47","2,815.34","-","-","7.55","0.49"
"NIFTY COMPOSITE G-SEC INDEX","2,615.63","0.01","2,615.63","2,615.63","2,615.63","2,615.12","2,613.84","2,610.04","2,599.08","2,424.06","-","-","7.67","0.55"
